Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
73	-1873.2428	7.0964737	-1865.552	-1884.8267	1000.0	-189.4452	0.00069550064	-189.43991	-189.44568	296000	1.7229468e-08	737.4971	-0.01108517	-1.2119751	0.32671586	0.016365051	0.1805	12.0	315.4361217021942
74	-1886.602	5.700455	-1881.9637	-1896.1235	1000.0	-189.10648	0.0007265953	-189.09975	-189.10695	300000	4.656613e-09	792.9762	-0.01681539	-0.1927185	0.32802987	0.010394954	0.14575	79.0	319.69812202453613
75	-1862.003	19.144281	-1844.5088	-1891.053	1000.0	-188.95819	0.0007580264	-188.94673	-188.95866	304000	-1.3504177e-08	728.7426	-0.017247956	-1.702179	0.32308567	0.013214143	0.14750001	79.0	324.03812170028687
76	-1870.4554	4.6543465	-1865.0762	-1876.5719	1000.0	-188.55591	0.0007516841	-188.54951	-188.5564	308000	2.7241185e-08	739.01074	-0.014969825	-0.45132446	0.3188684	0.012792449	0.12425	79.0	328.3441243171692
77	-1855.1814	7.2100515	-1844.2609	-1864.3452	1000.0	-188.32545	0.0007692383	-188.32031	-188.32596	312000	3.259629e-09	746.6682	-0.01640721	-1.7129669	0.3114793	0.010592382	0.136	79.0	332.75812220573425
78	-1868.4382	9.885066	-1852.5802	-1877.5901	1000.0	-187.90166	0.00081466656	-187.8892	-187.90218	316000	-9.313226e-10	749.1115	-0.016933342	-0.276062	0.30767983	0.010383002	0.13425	79.0	337.1031241416931
79	-1871.11	4.713871	-1867.683	-1879.1862	1000.0	-187.70915	0.00081911794	-187.69366	-187.70969	320000	4.656613e-10	738.9569	-0.014577828	-0.14593506	0.29703996	0.0118062645	0.12925	79.0	341.44512462615967
80	-1857.7095	12.096743	-1838.4673	-1871.5425	1000.0	-187.57553	0.00078940036	-187.56796	-187.57605	324000	-7.450581e-09	768.2761	-0.017044304	-0.8395233	0.29526463	0.010841247	0.118	79.0	345.5281207561493
81	-1869.1133	12.935811	-1853.8988	-1886.2328	1000.0	-187.26149	0.0008176599	-187.25253	-187.26202	328000	-1.1175871e-08	730.8401	-0.0144014135	-0.08441162	0.2945906	0.013832816	0.1155	79.0	349.3961215019226
82	-1863.8721	4.693607	-1856.2471	-1868.0005	1000.0	-187.14484	0.00086586224	-187.13715	-187.14542	332000	1.9557774e-08	769.3167	-0.01712165	-0.11627197	0.29689303	0.012185229	0.1425	79.0	353.5101227760315
83	-1860.0016	0.7978269	-1858.8113	-1861.0112	1000.0	-187.0214	0.0008545045	-187.01395	-187.02194	336000	-1.4551915e-10	741.7632	-0.017486757	-0.17546082	0.29573038	0.012881095	0.1415	79.0	356.8421230316162
84	-1866.4619	8.901742	-1857.2683	-1877.2435	1000.0	-186.86586	0.00083753053	-186.85977	-186.86642	340000	-6.519258e-09	747.99	-0.004415923	-0.029678345	0.29321977	0.017117608	0.17300001	3.0	359.5571200847626
85	-1859.6204	12.33317	-1843.0421	-1872.6307	1000.0	-186.79544	0.00092381233	-186.78394	-186.79605	344000	-7.916242e-09	759.86707	-0.01821224	-0.29022217	0.2928847	0.013011157	0.14725	79.0	362.66312193870544
86	-1847.2059	9.345034	-1835.7894	-1857.1661	1000.0	-186.59244	0.00090419117	-186.58528	-186.59303	348000	-1.0244548e-08	779.4885	-0.016168617	-1.000351	0.28081524	0.011093842	0.14649999	79.0	365.8331220149994
87	-1855.7383	7.3578086	-1848.4988	-1865.7833	1000.0	-186.20291	0.00094017864	-186.19475	-186.20352	352000	-4.1909516e-09	747.99347	-0.019818068	-0.12545776	0.28139877	0.010517692	0.15975	79.0	369.30911898612976
88	-1857.0282	9.860048	-1840.4261	-1866.0131	1000.0	-186.04631	0.0010188699	-186.03658	-186.04698	356000	-2.7939677e-08	792.3949	-0.010747513	-0.07066345	0.27305254	0.015414814	0.13175	14.0	372.04212069511414
89	-1845.0372	14.4428	-1827.3536	-1860.4583	1000.0	-185.93565	0.00096008764	-185.92947	-185.9363	360000	-5.5879354e-09	771.9342	-0.011443623	-0.66044617	0.27348712	0.015177919	0.19275	11.0	374.78612065315247
90	-1853.5867	5.8656898	-1845.6533	-1859.8346	1000.0	-185.60315	0.0010369713	-185.59196	-185.60382	364000	-3.7252903e-09	744.94556	-0.0176551	-0.0059509277	0.27429548	0.0091116745	0.13975	79.0	377.90212059020996
91	-1858.1493	9.226617	-1847.529	-1872.7455	1000.0	-185.5526	0.0010355451	-185.54575	-185.5533	368000	-1.3969839e-08	770.89343	-0.015241511	-0.064086914	0.2673765	0.012035316	0.133	79.0	380.9691195487976
92	-1861.3	9.298336	-1849.2573	-1875.1877	1000.0	-185.65816	0.0010906467	-185.64966	-185.65889	372000	-3.7252903e-09	770.0913	-0.016451258	-0.1559143	0.26572856	0.013737403	0.13	79.0	384.49711990356445
93	-1853.3127	5.422208	-1845.5482	-1860.6753	1000.0	-185.83238	0.0011270145	-185.82532	-185.83315	376000	9.429641e-09	749.397	-0.01289942	-0.1304779	0.2670725	0.005796871	0.10625	79.0	387.77812027931213
94	-1841.4819	16.902111	-1823.207	-1866.0299	1000.0	-185.68175	0.0012133353	-185.6712	-185.68256	380000	-1.8626451e-09	746.82874	-0.01632489	-0.98539734	0.25254956	0.01301112	0.1325	79.0	391.32312202453613
95	-1843.999	11.996311	-1831.3696	-1860.295	1000.0	-185.231	0.0012700795	-185.22183	-185.23187	384000	7.450581e-09	759.5366	-0.0129352715	-0.3466034	0.23638105	0.015971445	0.113000005	14.0	394.27112197875977
96	-1833.7866	15.274904	-1813.7047	-1854.5259	1000.0	-184.94308	0.0012963025	-184.93192	-184.94397	388000	1.7695129e-08	756.8856	-0.015648987	-0.8721466	0.23355784	0.013213706	0.13825	79.0	397.9541230201721
97	-1834.6842	18.474634	-1811.4974	-1863.0408	1000.0	-184.49849	0.0014121537	-184.48628	-184.49944	392000	-1.3969839e-09	778.3439	-0.017200613	-0.3438263	0.22548753	0.012050105	0.1475	79.0	402.69712352752686
98	-1834.0212	6.6722894	-1824.9023	-1843.7544	1000.0	-184.2019	0.0015451177	-184.1911	-184.20296	396000	-1.816079e-08	723.3219	-0.015560299	-0.13859558	0.21820469	0.01289348	0.1285	79.0	406.60412216186523
99	-1828.1057	3.5218763	-1823.1722	-1833.0874	1000.0	-184.01125	0.0016247294	-183.99797	-184.01234	400000	1.8626451e-09	748.92957	-0.013753075	-0.60118103	0.20354947	0.013551953	0.120749995	79.0	410.4461319446564
100	-1837.2405	8.759155	-1823.3202	-1846.8666	1000.0	-183.62167	0.001832222	-183.60945	-183.62291	404000	-1.3969839e-08	741.1223	-0.018948007	-0.15066528	0.19970389	0.013124826	0.156	79.0	414.0741217136383
101	-1833.6074	5.3965964	-1826.0646	-1839.7743	1000.0	-183.8022	0.0020343424	-183.78711	-183.80359	408000	4.656613e-09	765.84467	-0.0153634045	-0.043930054	0.19657226	0.011111209	0.13075	79.0	417.9881203174591
102	-1832.2612	11.262846	-1820.455	-1850.6278	1000.0	-183.70439	0.0021540658	-183.69063	-183.70587	412000	-8.381903e-09	743.2462	-0.016538523	-0.30804443	0.19970232	0.011319604	0.14750001	79.0	421.7201211452484
103	-1822.6895	5.1609483	-1813.8795	-1826.994	1000.0	-183.4089	0.0024986663	-183.3912	-183.41061	416000	2.7008355e-08	739.6705	-0.016239587	-0.73054504	0.187208	0.009713267	0.12799999	79.0	425.2321226596832
104	-1809.1575	6.188134	-1800.648	-1817.419	1000.0	-182.9411	0.002932227	-182.92348	-182.94315	420000	1.1874363e-08	732.1816	-0.0098976325	-2.244995	0.17807855	0.015274066	0.12125	8.0	428.16212010383606
105	-1825.0354	10.267798	-1815.5735	-1841.9205	1000.0	-182.10739	0.0039441576	-182.08379	-182.11009	424000	8.8475645e-09	736.8061	-0.016749606	-0.098846436	0.17915107	0.011696931	0.137	79.0	431.37112188339233
106	-1825.4238	6.710346	-1815.4828	-1834.378	1000.0	-182.25107	0.0050567198	-182.2207	-182.25455	428000	-9.778887e-09	744.534	-0.0042480915	-0.07640076	0.17377678	0.016115595	0.181	3.0	434.07112193107605
107	-1831.3315	3.477906	-1826.5802	-1834.8812	1000.0	-182.40152	0.0071510645	-182.35432	-182.40646	432000	2.4796464e-08	749.1461	-0.008469628	-0.37768555	0.17358615	0.01586464	0.14325	9.0	436.71812319755554
108	-1829.5295	3.8783612	-1826.573	-1836.1935	1000.0	-182.7471	0.012078651	-182.64264	-182.7554	436000	-9.313226e-09	763.3386	-0.017507726	-0.300354	0.17320555	0.011578924	0.128	79.0	440.3351237773895
109	-1826.9999	7.690575	-1816.1682	-1836.2866	1000.0	-182.9021	0.046520315	-182.66876	-182.93611	440000	1.2340024e-08	767.7943	-0.016610969	-128.30411	0.17438328	0.009839583	0.12674999	79.0	443.95912289619446
110	-1822.1647	8.885583	-1810.0958	-1835.0475	1000.0	-178.21121	9.639025	-126.39415	-184.48337	444000	6.519258e-09	642.0491	-0.016621655	-239.1984	0.16458273	0.0111369835	0.1455	79.0	447.6971232891083
111	-1821.0298	7.543032	-1809.147	-1829.816	1000.0	-177.52373	14.399145	-137.43173	-188.56242	448000	2.561137e-09	392.77777	-0.011428473	-113.779564	0.15653002	0.0155337425	0.13299999	17.0	450.91412138938904
112	-1825.8972	4.007001	-1821.1859	-1831.0868	1000.0	-177.20682	20.121319	-122.37614	-192.5183	452000	-3.7252903e-09	284.6698	-0.016924543	-46.197872	0.15776727	0.01239251	0.15274999	79.0	454.63312315940857
